States,2020 even,2020 as 2016,2020 as 2008,2020 as 2004,2024 even,2024 as 2016
Alabama,0.001,0.001,0.002,0,0,0
Alaska,0.211,0.272,0.415,0.162,0.253,0.312
Arizona,0.235,0.306,0.49,0.177,0.29,0.366
Arkansas,0.021,0.024,0.038,0.018,0.009,0.011
California,1,1,1,1,1,1
Colorado,0.778,0.848,0.949,0.67,0.847,0.902
Connecticut,0.984,0.986,0.989,0.981,0.989,0.99
Delaware,0.852,0.875,0.908,0.829,0.898,0.914
Florida,0.243,0.318,0.533,0.169,0.228,0.303
Georgia,0.021,0.037,0.116,0.011,0.017,0.031
Hawaii,0.994,0.994,0.994,0.993,0.994,0.994
Idaho,0,0.001,0.002,0,0,0.001
Illinois,0.939,0.963,0.985,0.906,0.944,0.966
Indiana,0.22,0.263,0.375,0.185,0.222,0.265
Iowa,0.434,0.503,0.66,0.357,0.475,0.543
Kansas,0.001,0.003,0.015,0.001,0.001,0.003
Kentucky,0.006,0.009,0.028,0.003,0.003,0.005
Louisiana,0.058,0.062,0.076,0.054,0.043,0.047
Maine,0.611,0.63,0.669,0.591,0.609,0.632
Maryland,0.996,0.997,0.998,0.994,0.997,0.998
Massachusetts,0.936,0.942,0.952,0.926,0.929,0.934
Michigan,0.765,0.823,0.91,0.698,0.76,0.816
Minnesota,0.86,0.899,0.955,0.804,0.854,0.896
Mississippi,0.139,0.158,0.207,0.124,0.127,0.144
Missouri,0.051,0.076,0.179,0.031,0.032,0.048
Montana,0.214,0.244,0.34,0.183,0.196,0.227
Nebraska,0.077,0.094,0.157,0.058,0.074,0.092
Nevada,0.511,0.555,0.668,0.461,0.529,0.581
New Hampshire,0.603,0.71,0.878,0.48,0.676,0.77
New Jersey,0.988,0.994,0.998,0.981,0.994,0.996
New Mexico,0.874,0.907,0.957,0.826,0.9,0.931
New York,1,1,1,0.999,1,1
North Carolina,0.299,0.434,0.744,0.177,0.345,0.486
North Dakota,0.268,0.271,0.284,0.266,0.212,0.217
Ohio,0.089,0.178,0.523,0.036,0.08,0.161
Oklahoma,0,0,0.001,0,0,0
Oregon,0.932,0.937,0.948,0.919,0.937,0.944
Pennsylvania,0.609,0.741,0.928,0.459,0.653,0.769
Rhode Island,0.923,0.929,0.934,0.916,0.926,0.928
South Carolina,0.032,0.055,0.168,0.018,0.031,0.054
South Dakota,0.137,0.171,0.266,0.109,0.105,0.135
Tennessee,0.005,0.008,0.02,0.004,0.003,0.004
Texas,0.01,0.016,0.049,0.006,0.008,0.013
Utah,0.004,0.004,0.008,0.003,0.003,0.004
Vermont,0.947,0.95,0.95,0.944,0.954,0.956
Virginia,0.546,0.643,0.824,0.441,0.597,0.691
Washington,0.997,0.999,1,0.991,0.998,0.999
West Virginia,0.101,0.109,0.13,0.095,0.048,0.05
Wisconsin,0.541,0.615,0.762,0.467,0.543,0.612
Wyoming,0.005,0.007,0.016,0.004,0.004,0.005
USA,0.499,0.757,0.991,0.232,0.491,0.746
